"BehaviorSpace results (NetLogo 6.1.1)"
"NetLogo_PSO_Playground.nlogo"
"personal-confidence-nc"
"01/05/2025 14:10:48:768 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","trails-mode","path-to-save","path-to-load","highlight-mode","Constraints","Constraint","constraint_handling_method","fitness_function","particle-inertia","swarm-confidence","population-size","particle-speed-limit","personal-confidence","[step]","global-best-val","iterations"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.3","1.6","13","13","0.5","3","0.9980223799115477","3"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","1.6","13","13","0.5","0","0","0"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.3","1.6","13","13","1.5","0","0","0"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.3","1.6","13","13","0.5","4","0.9980223799115477","4"
"10","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Booth","0.3","1.6","13","13","0.5","5","0.9986908402786541","5"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.3","1.6","13","13","1.5","1","0.834415235867998","1"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.3","1.6","13","13","1.5","2","0.985863946519187","2"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.3","1.6","13","13","1.5","3","0.9980223799115477","3"
"9","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Shubert","0.3","1.6","13","13","1.5","4","0.9980223799115477","4"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","1.6","13","13","0.5","1","0.834415235867998","1"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","1.6","13","13","0.5","2","0.985863946519187","2"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","1.6","13","13","0.5","3","0.9980223799115477","3"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","1.6","13","13","0.5","4","0.9980223799115477","4"
"1","None","filename.txt","setting_1.txt","Best found","false","Constraint 2","Rejection Method","Langermann","0.3","1.6","13","13","0.5","5","0.9986908402786541","5"
